id,carry_big_objects_tables_chairs_etc__in_the_direction_of_the_arrow,carry_big_objects_tables_chairs_etc__in_the_direction_of_the_arrow:variance,carry_big_objects_tables_chairs_etc_within_the_circle,carry_big_objects_tables_chairs_etc_within_the_circle:variance,carry_cold_food_in_the_direction_of_the_arrow,carry_cold_food_in_the_direction_of_the_arrow:variance,carry_cold_food_within_the_circle,carry_cold_food_within_the_circle:variance,carry_drinks_in_the_direction_of_the_arrow,carry_drinks_in_the_direction_of_the_arrow:variance,carry_drinks_within_the_circle,carry_drinks_within_the_circle:variance,carry_small_objects_plates_toys_etc__in_the_direction_of_the_arrow,carry_small_objects_plates_toys_etc__in_the_direction_of_the_arrow:variance,carry_small_objects_plates_toys_etc_within_the_circle,carry_small_objects_plates_toys_etc_within_the_circle:variance,carry_warm_food_in_the_direction_of_the_arrow,carry_warm_food_in_the_direction_of_the_arrow:variance,carry_warm_food_within_the_circle,carry_warm_food_within_the_circle:variance,cleaning_picking_up_stuff_within_the_circle,cleaning_picking_up_stuff_within_the_circle:variance,mopping_the_floor_in_the_direction_of_the_arrow,mopping_the_floor_in_the_direction_of_the_arrow:variance,mopping_the_floor_within_the_circle,mopping_the_floor_within_the_circle:variance,starting_conversation_in_the_direction_of_the_arrow,starting_conversation_in_the_direction_of_the_arrow:variance,vacuum_cleaning_in_the_direction_of_the_arrow,vacuum_cleaning_in_the_direction_of_the_arrow:variance,vacuum_cleaning_within_the_circle,vacuum_cleaning_within_the_circle:variance,2nd_closest_human_facing_robot,3d_closest_human_facing_robot,closest_human_facing_robot,direction_from_closest_human_to_robot,direction_to_2nd_closest_human,direction_to_3rd_closest_human,direction_to_closest_human,distance_to_2nd_closest_human,distance_to_3rd_closest_human,distance_to_closest_animal,distance_to_closest_child,distance_to_closest_human,distance_to_group,file_path,group_radius,image_url,music_playing,number_of_agents_in_scene,number_of_animals,number_of_children,number_of_people,number_of_people_in_group,number_of_people_sittinglaying_in_sofa,posrot1,posrot10,posrot11,posrot2,posrot3,posrot4,posrot5,posrot6,posrot7,posrot8,posrot9,posrotpepper,robot_facing_2nd_closest_human,robot_facing_3rd_closest_human,robot_facing_closest_human,robot_facing_group,robot_within_group,robot_work_radius,stamp,using_arrow,using_circle
2633639474,4.11,1.252,0.0,0.0,3.84,1.598,0.0,0.0,4.16,1.308,0.0,0.0,4.16,1.182,0.0,0.0,4.16,1.268,0.0,0.0,0.0,0.0,4.0,1.298,0.0,0.0,4.11,1.334,4.0,1.298,0.0,0.0,0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,data/screenshots/68_0_1_0_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_0_0_0_0_0_0_0_50_0_0_1.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/68_0_1_0_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_0_0_0_0_0_0_0_50_0_0_1.png,0,1,0,0,0,0,0,_,_,_,_,_,_,_,_,_,_,_,"(-7.6, -0.9, -1.3) (0.0, 0.8, 0.0, 0.6)",0,0,0,0,0,0.0,68,1,0
2633639476,0.0,0.0,3.33,1.35,0.0,0.0,3.27,1.611,0.0,0.0,3.2,1.558,0.0,0.0,3.67,1.3,0.0,0.0,3.4,1.4509999999999998,3.73,1.389,0.0,0.0,3.53,1.454,0.0,0.0,0.0,0.0,3.53,1.454,1,0,0,233.5404,329.8282,311.1099,264.5404,2.561611,3.1427810000000003,50.0,50.0,1.486753,50.0,data/screenshots/70_1_0_5_0_50_50_1_0_0.8670055_1.486753_2.561611_3.142781_264.5404_329.8282_311.1099_233.5404_0_1_0_0_1_0_0_50_0_0_6.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/70_1_0_5_0_50_50_1_0_0.8670055_1.486753_2.561611_3.142781_264.5404_329.8282_311.1099_233.5404_0_1_0_0_1_0_0_50_0_0_6.png,0,6,0,0,5,0,0,"(-5.1, -0.9, -3.4) (0.0, 0.7, 0.0, -0.7)",_,_,"(-4.4, -0.9, -4.3) (0.0, 0.3, 0.0, 0.9)","(-2.9, -0.9, -2.4) (0.0, 0.7, 0.0, 0.7)","(-5.6, -0.9, -4.2) (0.0, 1.0, 0.0, 0.1)","(-6.3, -0.9, -3.1) (0.0, 1.0, 0.0, -0.3)",_,_,_,_,"(-3.8, -0.9, -1.2) (0.0, 0.9, 0.0, -0.5)",1,0,0,0,1,0.8670055,70,0,1
2633639477,3.56,1.315,0.0,0.0,3.59,1.472,0.0,0.0,3.52,1.4240000000000002,0.0,0.0,3.52,1.4240000000000002,0.0,0.0,3.7,1.409,0.0,0.0,0.0,0.0,3.56,1.499,0.0,0.0,3.56,1.3969999999999998,3.56,1.423,0.0,0.0,1,0,0,289.866,352.1389,311.0408,352.3256,3.838486,5.8895669999999996,50.0,50.0,1.427748,50.0,data/screenshots/71_0_1_5_0_50_50_1_0_0_1.427748_3.838486_5.889567_352.3256_352.1389_311.0408_289.866_1_1_0_0_1_0_0_50_0_0_6.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/71_0_1_5_0_50_50_1_0_0_1.427748_3.838486_5.889567_352.3256_352.1389_311.0408_289.866_1_1_0_0_1_0_0_50_0_0_6.png,0,6,0,0,5,0,0,"(-3.0, -0.9, -4.0) (0.0, 0.8, 0.0, 0.6)",_,_,"(-7.6, -0.9, -2.5) (0.0, 0.2, 0.0, 1.0)","(-5.9, -0.9, -4.3) (0.0, 0.4, 0.0, -0.9)","(-2.8, -0.9, -2.9) (0.0, 0.6, 0.0, 0.8)","(-2.7, -0.9, -2.0) (0.0, 1.0, 0.0, 0.1)",_,_,_,_,"(-8.6, -0.9, -1.5) (0.0, 1.0, 0.0, 0.3)",1,0,1,0,1,0.0,71,1,0
2633639478,3.44,1.1159999999999999,0.0,0.0,3.44,1.2229999999999999,0.0,0.0,3.25,1.25,0.0,0.0,3.38,1.166,0.0,0.0,3.5,1.1179999999999999,0.0,0.0,0.0,0.0,3.63,1.053,0.0,0.0,3.25,1.09,3.56,1.1159999999999999,0.0,0.0,0,0,0,231.5427,342.7127,18.90028,309.9614,4.304461,4.621904,50.0,50.0,0.5345420999999999,50.0,data/screenshots/72_0_1_4_0_50_50_1_0_0_0.5345421_4.304461_4.621904_309.9614_342.7127_18.90028_231.5427_0_1_1_0_0_0_0_50_0_0_5.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/72_0_1_4_0_50_50_1_0_0_0.5345421_4.304461_4.621904_309.9614_342.7127_18.90028_231.5427_0_1_1_0_0_0_0_50_0_0_5.png,0,5,0,0,4,0,0,"(-8.2, -0.9, -1.3) (0.0, 0.1, 0.0, -1.0)",_,_,"(-3.8, -0.9, -3.2) (0.0, 1.0, 0.0, -0.3)","(-4.4, -0.9, -3.6) (0.0, 0.3, 0.0, -1.0)","(-4.4, -0.9, -0.8) (0.0, 0.5, 0.0, 0.9)",_,_,_,_,_,"(-8.6, -0.9, -1.7) (0.0, 0.7, 0.0, 0.7)",1,1,0,0,1,0.0,72,1,0
2633639480,0.0,0.0,3.83,1.344,0.0,0.0,3.94,1.268,0.0,0.0,3.61,1.5330000000000001,0.0,0.0,4.0,1.202,0.0,0.0,3.78,1.436,3.83,1.462,0.0,0.0,3.83,1.4240000000000002,0.0,0.0,0.0,0.0,4.06,1.177,0,1,0,215.1822,352.8412,6.2469019999999995,335.4102,2.413973,4.511237,50.0,50.0,2.0699389999999998,50.0,data/screenshots/74_1_0_3_0_50_50_1_0_1.517637_2.069939_2.413973_4.511237_335.4102_352.8412_6.246902_215.1822_1_1_1_0_0_1_0_50_0_0_4.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/74_1_0_3_0_50_50_1_0_1.517637_2.069939_2.413973_4.511237_335.4102_352.8412_6.246902_215.1822_1_1_1_0_0_1_0_50_0_0_4.png,0,4,0,0,3,0,0,"(-3.2, -0.9, -2.3) (0.0, 0.9, 0.0, 0.4)",_,_,"(-3.9, -0.9, -2.7) (0.0, 0.5, 0.0, -0.8)","(-4.9, -0.9, -4.7) (0.0, 0.2, 0.0, 1.0)",_,_,_,_,_,_,"(-3.9, -0.9, -0.3) (0.0, 1.0, 0.0, -0.1)",1,1,1,0,1,1.5176370000000001,74,0,1
2633639482,3.53,1.4080000000000001,0.0,0.0,3.4,1.143,0.0,0.0,3.6,1.3559999999999999,0.0,0.0,3.87,1.31,0.0,0.0,3.33,1.193,0.0,0.0,0.0,0.0,3.47,1.147,0.0,0.0,3.67,1.3,3.53,1.147,0.0,0.0,0,0,0,306.95,130.7045,340.9368,316.3377,2.190458,4.052429,50.0,50.0,1.108021,50.0,data/screenshots/76_0_1_3_0_50_50_1_0_0_1.108021_2.190458_4.052429_316.3377_130.7045_340.9368_306.95_0_0_1_0_0_0_0_50_0_0_4.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/76_0_1_3_0_50_50_1_0_0_1.108021_2.190458_4.052429_316.3377_130.7045_340.9368_306.95_0_0_1_0_0_0_0_50_0_0_4.png,0,4,0,0,3,0,0,"(-5.9, -0.9, -3.2) (0.0, 1.0, 0.0, 0.2)",_,_,"(-7.8, -0.9, -0.8) (0.0, 0.8, 0.0, 0.5)","(-2.8, -0.9, -4.1) (0.0, 0.6, 0.0, 0.8)",_,_,_,_,_,_,"(-4.9, -0.9, -3.6) (0.0, -0.2, 0.0, 1.0)",0,1,0,0,1,0.0,76,1,0
2633639483,3.39,1.208,0.0,0.0,3.67,1.291,0.0,0.0,3.56,1.301,0.0,0.0,3.5,1.3019999999999998,0.0,0.0,3.56,1.165,0.0,0.0,0.0,0.0,3.5,1.3019999999999998,0.0,0.0,3.39,1.253,3.39,1.297,0.0,0.0,1,0,0,115.8667,173.4024,1000.0,141.5498,4.59769,50.0,1.1148879999999999,50.0,2.408012,50.0,data/screenshots/77_0_1_2_0_50_50_1_0_0_2.408012_4.59769_50_141.5498_173.4024_1000_115.8667_0_0_0_0_1_0_0_50_1_0_4.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/77_0_1_2_0_50_50_1_0_0_2.408012_4.59769_50_141.5498_173.4024_1000_115.8667_0_0_0_0_1_0_0_50_1_0_4.png,0,4,1,0,2,0,0,"(-5.3, -0.9, -3.5) (0.0, 0.4, 0.0, -0.9)",_,"(-4.2, -0.9, -3.0) (0.0, 1.0, 0.0, 0.1)","(-7.7, -0.9, -1.9) (0.0, 0.6, 0.0, 0.8)",_,_,_,_,_,_,_,"(-3.2, -0.9, -2.4) (0.0, 0.8, 0.0, 0.6)",0,0,0,0,1,0.0,77,1,0
2633639484,3.53,1.4080000000000001,0.0,0.0,3.47,1.258,0.0,0.0,4.07,1.123,0.0,0.0,4.13,1.147,0.0,0.0,3.67,1.3,0.0,0.0,0.0,0.0,3.2,1.681,0.0,0.0,4.27,0.68,3.4,1.541,0.0,0.0,1,0,1,0.0,252.0,12.0,132.0,0.6247435,0.6247437,50.0,50.0,0.6247435,0.0,data/screenshots/78_0_1_4_3_0.6247438_0_1_1_0_0.6247435_0.6247435_0.6247437_132_252_12_0_0_0_1_1_1_0_0_50_0_0_5.png,0.6247438,https://acsdissertation.s3-eu-west-1.amazonaws.com/78_0_1_4_3_0.6247438_0_1_1_0_0.6247435_0.6247435_0.6247437_132_252_12_0_0_0_1_1_1_0_0_50_0_0_5.png,0,5,0,0,4,3,0,"(-5.5, -0.9, -3.4) (0.0, 1.0, 0.0, 0.0)",_,_,"(-5.0, -0.9, -4.3) (0.0, -0.5, 0.0, 0.9)","(-6.0, -0.9, -4.3) (0.0, 0.5, 0.0, 0.9)","(-7.0, -0.9, -0.3) (0.0, 0.2, 0.0, -1.0)",_,_,_,_,_,"(-5.5, -0.9, -4.0) (0.0, 0.1, 0.0, -1.0)",0,1,0,1,1,0.0,78,1,0
2633639486,0.0,0.0,3.27,1.389,0.0,0.0,3.53,1.36,0.0,0.0,3.6,1.405,0.0,0.0,3.8,1.376,0.0,0.0,3.6,1.405,3.6,1.3559999999999999,0.0,0.0,3.73,1.34,0.0,0.0,0.0,0.0,3.47,1.31,1,0,0,63.87283000000001,285.1428,278.4426,186.9498,4.584249,5.145231,50.0,50.0,2.0326419999999996,50.0,data/screenshots/80_1_0_3_0_50_50_1_0_2.924771_2.032642_4.584249_5.145231_186.9498_285.1428_278.4426_63.87283_0_0_0_0_1_0_0_50_0_0_4.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/80_1_0_3_0_50_50_1_0_2.924771_2.032642_4.584249_5.145231_186.9498_285.1428_278.4426_63.87283_0_0_0_0_1_0_0_50_0_0_4.png,0,4,0,0,3,0,0,"(-3.8, -0.9, -3.1) (0.0, 0.6, 0.0, 0.8)",_,_,"(-3.1, -0.9, -2.6) (0.0, 0.7, 0.0, -0.7)","(-8.2, -0.9, -0.3) (0.0, 0.9, 0.0, 0.5)",_,_,_,_,_,_,"(-8.3, -0.9, -2.3) (0.0, 1.0, 0.0, 0.0)",0,0,0,0,1,2.924771,80,0,1
2633639487,0.0,0.0,4.16,1.136,0.0,0.0,4.11,1.165,0.0,0.0,4.11,1.165,0.0,0.0,4.26,1.068,0.0,0.0,4.11,1.119,4.16,1.136,0.0,0.0,4.21,1.196,0.0,0.0,0.0,0.0,4.26,1.207,0,0,1,36.4485,1000.0,1000.0,278.5757,50.0,50.0,50.0,50.0,3.036234,50.0,data/screenshots/81_1_0_1_0_50_50_1_0_1.431082_3.036234_50_50_278.5757_1000_1000_36.4485_0_0_0_1_0_0_0_50_0_0_2.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/81_1_0_1_0_50_50_1_0_1.431082_3.036234_50_50_278.5757_1000_1000_36.4485_0_0_0_1_0_0_0_50_0_0_2.png,0,2,0,0,1,0,0,"(-5.8, -0.9, -3.1) (0.0, 0.5, 0.0, 0.8)",_,_,_,_,_,_,_,_,_,_,"(-2.8, -0.9, -3.6) (0.0, 0.0, 0.0, 1.0)",0,0,0,0,1,1.431082,81,0,1
2633639488,0.0,0.0,3.87,1.31,0.0,0.0,3.87,1.204,0.0,0.0,4.0,1.155,0.0,0.0,3.93,1.236,0.0,0.0,3.93,1.123,4.2,1.046,0.0,0.0,3.6,1.3559999999999999,0.0,0.0,0.0,0.0,3.53,1.4080000000000001,0,1,1,0.0,132.0,12.0,252.0,0.7733958000000001,0.773396,50.0,50.0,0.7733956999999999,0.0,data/screenshots/82_1_0_6_3_0.7733958_0_1_1_2.247059_0.7733957_0.7733958_0.773396_252_132_12_0_0_0_1_1_0_1_0_50_0_0_7.png,0.7733958000000001,https://acsdissertation.s3-eu-west-1.amazonaws.com/82_1_0_6_3_0.7733958_0_1_1_2.247059_0.7733957_0.7733958_0.773396_252_132_12_0_0_0_1_1_0_1_0_50_0_0_7.png,0,7,0,0,6,3,0,"(-7.5, -0.9, -0.7) (0.0, 1.0, 0.0, 0.0)",_,_,"(-6.8, -0.9, -1.9) (0.0, -0.5, 0.0, 0.9)","(-8.2, -0.9, -1.9) (0.0, 0.5, 0.0, 0.9)","(-2.9, -0.9, -2.9) (0.0, 1.0, 0.0, -0.1)","(-2.8, -0.9, -4.1) (0.0, 0.9, 0.0, 0.4)","(-5.8, -0.9, -4.8) (0.0, 0.7, 0.0, -0.7)",_,_,_,"(-7.5, -0.9, -1.5) (0.0, 0.9, 0.0, -0.4)",0,1,0,1,1,2.247059,82,0,1
2633639489,0.0,0.0,3.73,1.094,0.0,0.0,3.73,1.162,0.0,0.0,3.73,1.162,0.0,0.0,3.81,1.177,0.0,0.0,3.81,1.075,3.81,1.177,0.0,0.0,3.77,1.12,0.0,0.0,0.0,0.0,3.73,1.195,0,0,0,118.9872,17.380020000000002,356.7608,344.848,2.982528,4.003986,50.0,50.0,2.542898,3.099482,data/screenshots/83_1_0_2_3_0.9261656_3.099482_0_1_2.853963_2.542898_2.982528_4.003986_344.848_17.38002_356.7608_118.9872_1_1_1_0_0_0_0_50_0_0_4.png,0.9261655999999999,https://acsdissertation.s3-eu-west-1.amazonaws.com/83_1_0_2_3_0.9261656_3.099482_0_1_2.853963_2.542898_2.982528_4.003986_344.848_17.38002_356.7608_118.9872_1_1_1_0_0_0_0_50_0_0_4.png,0,4,0,0,2,3,0,"(-5.5, -0.9, -3.1) (0.0, 1.0, 0.0, 0.0)",_,_,"(-4.7, -0.9, -4.5) (0.0, -0.5, 0.0, 0.9)","(-6.3, -0.9, -4.5) (0.0, 0.5, 0.0, 0.9)",_,_,_,_,_,_,"(-7.7, -0.9, -1.8) (0.0, 0.9, 0.0, 0.4)",1,1,1,1,0,2.8539630000000002,83,0,1
2633639490,3.2,1.275,0.0,0.0,3.4,1.254,0.0,0.0,3.13,1.4080000000000001,0.0,0.0,3.4,1.3559999999999999,0.0,0.0,3.27,1.34,0.0,0.0,0.0,0.0,3.47,1.258,0.0,0.0,2.93,1.482,3.53,1.31,0.0,0.0,0,0,0,296.4614,105.55,155.336,168.9422,3.3177209999999997,5.35038,50.0,50.0,1.9591180000000001,50.0,data/screenshots/84_0_1_3_0_50_50_0_0_0_1.959118_3.317721_5.35038_168.9422_105.55_155.336_296.4614_0_0_0_0_0_0_0_50_0_0_4.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/84_0_1_3_0_50_50_0_0_0_1.959118_3.317721_5.35038_168.9422_105.55_155.336_296.4614_0_0_0_0_0_0_0_50_0_0_4.png,0,4,0,0,3,0,0,"(-4.4, -0.9, -1.7) (0.0, 1.0, 0.0, -0.2)",_,_,"(-6.4, -0.9, -3.9) (0.0, 1.0, 0.0, 0.0)","(-7.4, -0.9, 0.0) (0.0, 0.2, 0.0, -1.0)",_,_,_,_,_,_,"(-3.2, -0.9, -3.2) (0.0, 1.0, 0.0, 0.2)",0,0,0,0,0,0.0,84,1,0
2633639491,0.0,0.0,3.83,1.258,0.0,0.0,3.83,1.3840000000000001,0.0,0.0,3.83,1.3019999999999998,0.0,0.0,3.78,1.227,0.0,0.0,3.56,1.4609999999999999,3.89,1.197,0.0,0.0,3.72,1.2830000000000001,0.0,0.0,0.0,0.0,3.56,1.641,0,1,0,279.1089,26.52948,357.3381,17.02921,3.8147870000000004,4.008255,50.0,50.0,1.163059,4.754993,data/screenshots/85_1_0_5_3_0.7737883_4.754993_0_1_1.669223_1.163059_3.814787_4.008255_17.02921_26.52948_357.3381_279.1089_1_1_1_0_0_1_0_50_0_1_6.png,0.7737883000000001,https://acsdissertation.s3-eu-west-1.amazonaws.com/85_1_0_5_3_0.7737883_4.754993_0_1_1.669223_1.163059_3.814787_4.008255_17.02921_26.52948_357.3381_279.1089_1_1_1_0_0_1_0_50_0_1_6.png,0,6,0,0,5,3,1,"(-7.5, -0.9, -0.7) (0.0, 1.0, 0.0, 0.0)",_,_,"(-6.8, -0.9, -1.9) (0.0, -0.5, 0.0, 0.9)","(-8.2, -0.9, -1.9) (0.0, 0.5, 0.0, 0.9)","(-3.9, -0.9, -2.2) (0.0, 1.0, 0.0, -0.2)",_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)",_,_,"(-2.9, -0.9, -2.8) (0.0, -0.6, 0.0, 0.8)",1,1,1,1,0,1.669223,85,0,1
2633639492,0.0,0.0,2.87,1.5430000000000001,0.0,0.0,3.73,1.062,0.0,0.0,3.73,1.123,0.0,0.0,3.73,1.062,0.0,0.0,3.6,1.143,3.73,1.062,0.0,0.0,3.4,1.4969999999999999,0.0,0.0,0.0,0.0,3.33,1.3980000000000001,0,0,1,42.75945,263.5473,245.50900000000001,288.1502,1.278378,1.8892419999999999,50.0,50.0,0.7277083000000001,50.0,data/screenshots/86_1_0_4_0_50_50_0_0_2.338322_0.7277083_1.278378_1.889242_288.1502_263.5473_245.509_42.75945_0_0_0_1_0_0_0_50_0_0_5.png,50.0,https://acsdissertation.s3-eu-west-1.amazonaws.com/86_1_0_4_0_50_50_0_0_2.338322_0.7277083_1.278378_1.889242_288.1502_263.5473_245.509_42.75945_0_0_0_1_0_0_0_50_0_0_5.png,1,5,0,0,4,0,0,"(-8.0, -0.9, -1.5) (0.0, 0.2, 0.0, 1.0)",_,_,"(-7.8, -0.9, -2.3) (0.0, 0.5, 0.0, -0.9)","(-7.8, -0.9, -0.9) (0.0, 0.2, 0.0, 1.0)","(-6.1, -0.9, -4.2) (0.0, 0.9, 0.0, -0.3)",_,_,_,_,_,"(-7.2, -0.9, -0.5) (-0.1, -0.4, 0.0, 0.9)",0,0,0,0,0,2.3383220000000002,86,0,1
2633639493,3.19,1.4669999999999999,0.0,0.0,3.33,1.515,0.0,0.0,3.22,1.449,0.0,0.0,3.19,1.492,0.0,0.0,3.33,1.466,0.0,0.0,0.0,0.0,3.33,1.4909999999999999,0.0,0.0,3.37,1.444,3.22,1.474,0.0,0.0,0,0,0,190.0215,17.20056,162.0852,184.1322,0.7500486,1.524979,0.9459434000000001,50.0,0.7317953,1.241103,data/screenshots/87_0_1_5_3_0.5139222_1.241103_0_0_0_0.7317953_0.7500486_1.524979_184.1322_17.20056_162.0852_190.0215_0_1_0_0_0_0_0_50_1_0_7.png,0.5139222,https://acsdissertation.s3-eu-west-1.amazonaws.com/87_0_1_5_3_0.5139222_1.241103_0_0_0_0.7317953_0.7500486_1.524979_184.1322_17.20056_162.0852_190.0215_0_1_0_0_0_0_0_50_1_0_7.png,0,7,1,0,5,3,0,"(-4.0, -0.9, -2.0) (0.0, 1.0, 0.0, 0.0)",_,"(-5.5, -0.9, -3.9) (0.0, 0.7, 0.0, -0.7)","(-3.6, -0.9, -2.8) (0.0, -0.5, 0.0, 0.9)","(-4.4, -0.9, -2.8) (0.0, 0.5, 0.0, 0.9)","(-3.1, -0.9, -3.7) (0.0, 1.0, 0.0, 0.3)","(-5.9, -0.9, -3.1) (0.0, 1.0, 0.0, 0.3)",_,_,_,_,"(-5.1, -0.9, -3.0) (0.0, 0.8, 0.0, -0.5)",1,0,0,0,0,0.0,87,1,0
2633639494,0.0,0.0,3.73,1.123,0.0,0.0,3.8,1.1079999999999999,0.0,0.0,3.67,1.193,0.0,0.0,3.53,1.31,0.0,0.0,3.47,1.258,3.8,1.1079999999999999,0.0,0.0,3.4,1.306,0.0,0.0,0.0,0.0,3.33,1.3,0,1,1,0.0,333.0,213.0,93.00001,0.9393725,0.9393727,50.0,50.0,0.9393725,0.0,data/screenshots/88_1_0_2_3_0.9393726_0_1_1_2.17648_0.9393725_0.9393725_0.9393727_93.00001_333_213_0_0_1_0_1_0_1_0_50_0_2_6.png,0.9393726,https://acsdissertation.s3-eu-west-1.amazonaws.com/88_1_0_2_3_0.9393726_0_1_1_2.17648_0.9393725_0.9393725_0.9393727_93.00001_333_213_0_0_1_0_1_0_1_0_50_0_2_6.png,0,6,0,0,2,3,2,"(-3.0, -0.9, -2.1) (0.0, 1.0, 0.0, 0.0)",_,_,"(-2.2, -0.9, -3.5) (0.0, -0.5, 0.0, 0.9)","(-3.8, -0.9, -3.5) (0.0, 0.5, 0.0, 0.9)",_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,"(-3.0, -0.9, -3.0) (0.0, 0.2, 0.0, 1.0)",1,0,0,1,1,2.1764799999999997,88,0,1
2633639495,0.0,0.0,3.2,1.222,0.0,0.0,3.0,1.265,0.0,0.0,3.0,1.4140000000000001,0.0,0.0,3.27,1.34,0.0,0.0,2.93,1.389,3.53,1.204,0.0,0.0,3.2,1.275,0.0,0.0,0.0,0.0,2.67,1.35,0,0,0,110.5996,9.630005,359.9694,350.3972,4.124832,5.256997,50.0,50.0,4.119565000000001,4.461848000000001,data/screenshots/89_1_0_2_3_0.7951531_4.461848_0_1_1.357993_4.119565_4.124832_5.256997_350.3972_9.630005_359.9694_110.5996_1_1_1_0_0_0_0_50_0_0_4.png,0.7951531,https://acsdissertation.s3-eu-west-1.amazonaws.com/89_1_0_2_3_0.7951531_4.461848_0_1_1.357993_4.119565_4.124832_5.256997_350.3972_9.630005_359.9694_110.5996_1_1_1_0_0_0_0_50_0_0_4.png,0,4,0,0,2,3,0,"(-4.0, -0.9, -1.7) (0.0, 1.0, 0.0, 0.0)",_,_,"(-3.3, -0.9, -2.9) (0.0, -0.5, 0.0, 0.9)","(-4.7, -0.9, -2.9) (0.0, 0.5, 0.0, 0.9)",_,_,_,_,_,_,"(-7.9, -0.9, -0.3) (0.0, 0.9, 0.0, 0.5)",1,1,1,1,0,1.357993,89,0,1
2633639496,2.73,1.236,0.0,0.0,3.0,1.095,0.0,0.0,3.07,1.181,0.0,0.0,3.0,1.265,0.0,0.0,3.33,1.011,0.0,0.0,0.0,0.0,2.6,0.9520000000000001,0.0,0.0,3.4,1.2,2.67,0.943,0.0,0.0,1,1,1,0.0,125.0,215.0,35.0,0.869081,0.869081,50.0,50.0,0.869081,0.0,data/screenshots/90_0_1_5_4_0.869081_0_1_1_0_0.869081_0.869081_0.869081_35_125_215_0_1_0_0_1_1_1_0_50_0_0_6.png,0.869081,https://acsdissertation.s3-eu-west-1.amazonaws.com/90_0_1_5_4_0.869081_0_1_1_0_0.869081_0.869081_0.869081_35_125_215_0_1_0_0_1_1_1_0_50_0_0_6.png,0,6,0,0,5,4,0,"(-7.5, -0.9, -0.6) (0.0, 1.0, 0.0, 0.0)",_,_,"(-6.6, -0.9, -1.5) (0.0, -0.7, 0.0, 0.7)","(-7.5, -0.9, -2.4) (0.0, 0.0, 0.0, 1.0)","(-8.4, -0.9, -1.5) (0.0, 0.7, 0.0, 0.7)","(-5.1, -0.9, -3.3) (0.0, 1.0, 0.0, -0.2)",_,_,_,_,"(-7.5, -0.9, -1.5) (0.0, 0.3, 0.0, -1.0)",0,0,1,1,1,0.0,90,1,0
2633639497,0.0,0.0,3.39,1.31,0.0,0.0,3.52,1.175,0.0,0.0,3.43,1.056,0.0,0.0,3.35,1.088,0.0,0.0,3.22,1.214,3.26,1.072,0.0,0.0,3.13,1.115,0.0,0.0,0.0,0.0,3.13,1.1540000000000001,1,1,1,0.0,349.0,79.00001,259.0,0.5685697,0.5685697,2.054049,50.0,0.5685697,0.0,data/screenshots/91_1_0_1_4_0.5685697_0_1_1_1.75615_0.5685697_0.5685697_0.5685697_259_349_79.00001_0_0_1_0_1_1_1_0_50_1_0_6.png,0.5685697,https://acsdissertation.s3-eu-west-1.amazonaws.com/91_1_0_1_4_0.5685697_0_1_1_1.75615_0.5685697_0.5685697_0.5685697_259_349_79.00001_0_0_1_0_1_1_1_0_50_1_0_6.png,1,6,1,0,1,4,0,"(-4.0, -0.9, -1.9) (0.0, 1.0, 0.0, 0.0)",_,"(-3.8, -0.9, -0.5) (0.0, 0.3, 0.0, 1.0)","(-3.4, -0.9, -2.5) (0.0, -0.7, 0.0, 0.7)","(-4.0, -0.9, -3.1) (0.0, 0.0, 0.0, 1.0)","(-4.6, -0.9, -2.5) (0.0, 0.7, 0.0, 0.7)",_,_,_,_,_,"(-4.0, -0.9, -2.5) (0.0, 0.8, 0.0, 0.6)",1,0,0,1,1,1.75615,91,0,1
