2nd_closest_human_facing_robot,3d_closest_human_facing_robot,closest_human_facing_robot,direction_from_closest_human_to_robot,direction_to_2nd_closest_human,direction_to_3rd_closest_human,direction_to_closest_human,distance_to_2nd_closest_human,distance_to_3rd_closest_human,distance_to_closest_animal,distance_to_closest_child,distance_to_closest_human,distance_to_group,group_radius,music_playing,number_of_agents_in_scene,number_of_animals,number_of_children,number_of_people,number_of_people_in_group,number_of_people_sittinglaying_in_sofa,robot_facing_2nd_closest_human,robot_facing_3rd_closest_human,robot_facing_closest_human,robot_facing_group,robot_within_group,robot_work_radius
0,0,0,142.8982,72.62131,78.90926,88.11455,1.427115,2.010996,50.0,50.0,0.8770812,50.0,50.0,0,6,0,0,5,0,1,0,0,0,0,0,1.582288
0,0,0,317.4496,142.4245,1000.0,71.75674000000001,4.165578,50.0,50.0,50.0,3.8418699999999997,50.0,50.0,0,3,0,0,2,0,1,0,0,0,0,0,0.0
1,0,0,158.3763,143.7248,1000.0,175.3667,3.6240580000000002,50.0,50.0,50.0,3.108594,50.0,50.0,0,3,0,0,2,0,0,0,0,0,0,0,1.573692
0,0,1,34.15363,1000.0,1000.0,196.4141,50.0,50.0,50.0,50.0,4.045765,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,1.2215200000000002
0,0,0,46.15675,113.6328,1.0012510000000001,7.003113000000001,2.567755,3.6610620000000003,50.0,50.0,2.142594,50.0,50.0,0,7,0,0,6,0,0,0,1,1,0,0,0.0
0,0,0,214.84400000000002,287.9637,345.7528,230.6891,1.581628,2.302838,50.0,50.0,1.288526,50.0,50.0,0,7,0,0,6,0,0,0,1,0,0,0,0.0
1,0,0,257.1814,52.14151,188.5208,33.97922,1.937617,2.911825,50.0,1.937617,1.125393,3.4912379999999996,0.7484223000000001,0,7,0,1,6,3,0,0,0,1,0,0,0.0
0,0,0,141.6802,234.4165,10.98718,180.3365,0.8404765,3.051695,50.0,50.0,0.4008913,50.0,50.0,1,7,0,0,6,0,0,0,1,0,0,0,0.0
0,0,0,59.67429,1000.0,1000.0,69.91411,50.0,50.0,5.451954,50.0,2.464521,50.0,50.0,0,3,1,0,1,0,0,0,0,0,0,0,0.8215136999999999
0,0,0,93.98868,13.86935,1000.0,5.314392,5.371885,50.0,50.0,50.0,5.23825,50.0,50.0,0,3,0,0,2,0,0,1,0,1,0,0,2.155335
0,1,0,223.3774,338.4697,25.61044,222.493,0.6446414,1.240534,50.0,50.0,0.4242669,1.0822459999999998,0.5374555999999999,0,7,0,0,6,3,0,1,1,0,1,0,0.0
0,1,1,357.2418,275.0009,25.977339999999998,199.2418,0.4903605,1.559444,50.0,50.0,0.4173691,50.0,50.0,0,7,0,0,6,0,0,0,1,0,0,1,1.2118520000000002
0,0,1,335.4372,120.5097,223.7328,353.4598,2.346784,2.450176,50.0,3.511944,0.6974629,50.0,50.0,0,6,0,1,5,0,0,0,0,1,0,1,0.0
1,1,1,0.0,287.0,17.0,197.0,0.8518181,0.8518181,50.0,50.0,0.8518181,0.0,0.8518180000000001,0,7,0,0,6,4,1,0,1,0,1,1,0.7849114
1,0,1,0.0,179.0,299.0,58.999990000000004,0.7244655,0.7244656,50.0,50.0,0.7244655,0.0,0.7244656,0,8,0,0,7,3,1,0,0,0,1,1,1.983744
1,1,1,0.0,231.0,351.0,111.0,0.5587035,0.5587035,3.9620290000000002,50.0,0.5587034000000001,0.0,0.5587035,0,7,1,0,5,3,0,0,1,0,1,1,0.0
0,0,0,175.7948,191.6782,169.2451,178.9124,3.886106,3.958264,50.0,50.0,2.526752,3.4068980000000004,0.8819068999999999,0,4,0,0,0,3,0,0,0,0,0,0,0.0
1,0,1,0.0,142.0,262.0,22.00001,0.8183089,0.8183090999999999,50.0,50.0,0.8183089,0.0,0.8183090000000001,0,7,0,0,6,3,0,0,0,1,1,1,1.051094
0,0,0,162.418,190.31099999999998,172.8349,176.5458,3.272365,3.5043260000000003,50.0,50.0,2.466933,3.0529759999999997,0.6089433000000001,0,4,0,0,0,3,0,0,0,0,0,0,1.8506630000000002
1,1,1,0.0,340.0,52.0,268.0,0.501923,0.501923,50.0,1.513339,0.501923,0.0,0.501923,0,8,0,1,7,5,0,1,0,0,1,1,0.0
1,0,1,0.0,314.0,134.0,224.0,0.9080386,0.9080386999999999,50.0,3.045195,0.9080386,0.0,0.9080386999999999,0,7,0,2,2,4,0,0,0,0,1,1,0.0
1,0,0,103.7023,124.7625,346.2617,333.7023,1.133214,1.6076409999999999,50.0,50.0,1.079949,50.0,50.0,0,6,0,0,5,0,0,0,1,1,0,1,0.0
0,0,0,182.1199,47.85962,348.9319,0.41237640000000003,3.43614,3.7549379999999997,50.0,50.0,2.9858029999999998,3.7065839999999994,0.7211788,0,6,0,0,5,4,0,0,1,1,1,0,0.0
0,0,0,93.67352,2.802643,350.0941,248.0003,3.7240309999999996,4.350834,50.0,50.0,0.7404321,4.468058,0.770312,0,6,0,0,5,4,0,1,1,0,1,0,0.0
0,0,0,77.08875,142.4297,1000.0,171.5436,1.610201,50.0,2.781317,1.338187,1.338187,50.0,50.0,0,4,1,2,2,0,0,0,0,0,0,0,0.0
1,0,1,349.4192,350.9698,344.601,323.4767,4.032952,4.2055419999999994,50.0,50.0,2.484393,5.494408999999999,0.8810872,0,7,0,0,6,3,1,1,1,1,1,0,2.197381
0,0,0,266.2749,174.7976,222.7352,132.3489,1.30617,3.535275,50.0,50.0,0.7601658,50.0,50.0,0,6,0,0,5,0,1,0,0,0,0,0,2.829013
0,0,0,294.8349,131.9685,159.7664,201.9093,2.879707,3.855634,50.0,5.008534,1.286352,4.975489,0.5115319,0,8,0,1,7,3,2,0,0,0,0,0,1.240421
0,0,0,53.50388,349.5122,10.05711,101.8119,1.472539,2.3393919999999997,50.0,50.0,1.3748280000000002,50.0,50.0,0,4,0,0,3,0,0,1,1,0,0,0,2.058575
0,0,0,275.0893,120.8729,196.265,207.8851,3.3309019999999996,3.918563,50.0,50.0,0.8197964,50.0,50.0,0,5,0,0,4,0,1,0,0,0,0,0,0.0
0,0,0,78.62878,263.2661,235.7139,143.1596,2.0548990000000003,2.099431,50.0,50.0,0.9408947,50.0,50.0,1,6,0,0,5,0,0,0,0,0,0,0,0.0
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,231.7958,107.0847,155.9194,198.9312,1.997237,2.036241,50.0,50.0,1.654452,2.3957900000000003,0.9891353,0,6,0,0,5,4,0,0,0,0,0,0,0.0
0,1,1,0.0,87.0,327.0,207.0,0.9259870000000001,0.9259873,50.0,50.0,0.9259869000000001,0.0,0.9259870000000001,0,6,0,0,5,3,1,0,1,0,1,1,0.0
1,1,1,0.0,245.0,5.0,125.0,0.5830420999999999,0.5830420999999999,50.0,50.0,0.5830420999999999,0.0,0.5830422,0,4,0,0,0,3,0,0,1,0,1,1,0.0
1,0,0,241.368,169.0096,181.36700000000002,189.8008,4.410553,5.557974,50.0,50.0,4.160722,4.662016,0.9041517,0,4,0,0,1,3,0,0,0,0,0,0,1.830528
1,0,1,0.0,159.0,279.0,39.000009999999996,0.705739,0.7057391,50.0,50.0,0.705739,0.0,0.7057391,0,4,0,0,1,3,0,0,0,1,1,1,2.018199
1,0,0,82.345,46.20264,109.7166,212.345,2.027318,2.881348,50.0,2.881348,0.7789187,50.0,50.0,0,6,0,1,5,0,0,0,0,0,0,1,0.0
0,0,0,272.7304,1000.0,1000.0,228.0802,50.0,50.0,50.0,50.0,4.456846,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,1,1.144013
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,4.066605,50.0,50.0,50.0,50.0,0,2,1,0,0,0,0,0,0,0,0,1,0.0
1,0,0,240.7279,341.6852,326.6909,343.7494,3.650315,4.784338,5.739505,50.0,2.4621560000000002,50.0,50.0,0,8,1,0,6,0,0,1,1,1,0,1,1.226073
0,1,0,257.7272,2.511787,154.2855,205.1252,1.313512,1.3585690000000001,50.0,50.0,1.1946620000000001,1.4694200000000002,0.6385046,0,7,0,0,6,3,0,1,0,0,0,0,0.0
1,0,0,229.4254,90.97736,242.8387,16.31169,1.3269540000000002,2.4414740000000004,50.0,50.0,0.9489004999999999,50.0,50.0,0,5,0,0,4,0,0,0,0,1,0,0,0.0
0,0,0,172.033,308.6094,228.9049,72.94185999999999,2.003997,2.787809,50.0,50.0,0.7858546,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,0,2.632606
0,0,0,90.19019,254.5772,264.2477,251.1572,6.133714,6.264908999999999,50.0,50.0,5.56418,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,0,0.0
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
1,0,0,233.5404,329.8282,311.1099,264.5404,2.561611,3.1427810000000003,50.0,50.0,1.486753,50.0,50.0,0,6,0,0,5,0,0,1,0,0,0,1,0.8670055
1,0,0,289.866,352.1389,311.0408,352.3256,3.838486,5.8895669999999996,50.0,50.0,1.427748,50.0,50.0,0,6,0,0,5,0,0,1,0,1,0,1,0.0
0,0,0,231.5427,342.7127,18.90028,309.9614,4.304461,4.621904,50.0,50.0,0.5345420999999999,50.0,50.0,0,5,0,0,4,0,0,1,1,0,0,1,0.0
0,1,0,215.1822,352.8412,6.2469019999999995,335.4102,2.413973,4.511237,50.0,50.0,2.0699389999999998,50.0,50.0,0,4,0,0,3,0,0,1,1,1,0,1,1.5176370000000001
0,0,0,306.95,130.7045,340.9368,316.3377,2.190458,4.052429,50.0,50.0,1.108021,50.0,50.0,0,4,0,0,3,0,0,0,1,0,0,1,0.0
1,0,0,115.8667,173.4024,1000.0,141.5498,4.59769,50.0,1.1148879999999999,50.0,2.408012,50.0,50.0,0,4,1,0,2,0,0,0,0,0,0,1,0.0
1,0,1,0.0,252.0,12.0,132.0,0.6247435,0.6247437,50.0,50.0,0.6247435,0.0,0.6247438,0,5,0,0,4,3,0,0,1,0,1,1,0.0
1,0,0,63.87283000000001,285.1428,278.4426,186.9498,4.584249,5.145231,50.0,50.0,2.0326419999999996,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,1,2.924771
0,0,1,36.4485,1000.0,1000.0,278.5757,50.0,50.0,50.0,50.0,3.036234,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,1,1.431082
0,1,1,0.0,132.0,12.0,252.0,0.7733958000000001,0.773396,50.0,50.0,0.7733956999999999,0.0,0.7733958000000001,0,7,0,0,6,3,0,0,1,0,1,1,2.247059
0,0,0,118.9872,17.380020000000002,356.7608,344.848,2.982528,4.003986,50.0,50.0,2.542898,3.099482,0.9261655999999999,0,4,0,0,2,3,0,1,1,1,1,0,2.8539630000000002
0,0,0,296.4614,105.55,155.336,168.9422,3.3177209999999997,5.35038,50.0,50.0,1.9591180000000001,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,0,0.0
0,1,0,279.1089,26.52948,357.3381,17.02921,3.8147870000000004,4.008255,50.0,50.0,1.163059,4.754993,0.7737883000000001,0,6,0,0,5,3,1,1,1,1,1,0,1.669223
0,0,1,42.75945,263.5473,245.50900000000001,288.1502,1.278378,1.8892419999999999,50.0,50.0,0.7277083000000001,50.0,50.0,1,5,0,0,4,0,0,0,0,0,0,0,2.3383220000000002
0,0,0,190.0215,17.20056,162.0852,184.1322,0.7500486,1.524979,0.9459434000000001,50.0,0.7317953,1.241103,0.5139222,0,7,1,0,5,3,0,1,0,0,0,0,0.0
0,1,1,0.0,333.0,213.0,93.00001,0.9393725,0.9393727,50.0,50.0,0.9393725,0.0,0.9393726,0,6,0,0,2,3,2,1,0,0,1,1,2.1764799999999997
0,0,0,110.5996,9.630005,359.9694,350.3972,4.124832,5.256997,50.0,50.0,4.119565000000001,4.461848000000001,0.7951531,0,4,0,0,2,3,0,1,1,1,1,0,1.357993
1,1,1,0.0,125.0,215.0,35.0,0.869081,0.869081,50.0,50.0,0.869081,0.0,0.869081,0,6,0,0,5,4,0,0,0,1,1,1,0.0
1,1,1,0.0,349.0,79.00001,259.0,0.5685697,0.5685697,2.054049,50.0,0.5685697,0.0,0.5685697,1,6,1,0,1,4,0,1,0,0,1,1,1.75615
0,0,1,42.25992,347.9546,125.7229,11.25992,1.585868,3.4331959999999997,50.0,50.0,1.033735,50.0,50.0,0,5,0,0,4,0,1,1,0,1,0,1,0.0
1,1,0,229.4741,327.7408,64.50964,262.1575,2.977457,3.150339,3.968053,50.0,0.4569126,50.0,50.0,1,8,1,0,6,0,0,1,0,0,0,1,0.0
0,0,0,277.0039,32.82123,171.924,217.1777,1.303511,1.600566,50.0,1.600566,0.9832177,50.0,50.0,1,8,0,2,7,0,2,1,0,0,0,1,2.6989549999999998
0,0,0,168.1731,205.0756,155.6318,175.0168,1.227395,1.363073,50.0,1.488916,0.7863751,1.352554,0.5732354000000001,0,9,0,2,8,5,0,0,0,0,0,0,0.6649731
1,1,1,0.0,256.0,112.0,39.999990000000004,0.8220780999999999,0.8220781999999999,50.0,50.0,0.8220780999999999,0.0,0.8220780999999999,0,6,0,0,0,5,0,0,0,1,1,1,2.5245130000000002
0,0,0,1000.0,1000.0,1000.0,346.4927,50.0,50.0,50.0,50.0,3.560507,50.0,50.0,0,2,0,0,1,0,1,0,0,1,0,0,1.849749
0,1,0,125.994,198.2988,167.747,164.3139,1.3857270000000002,2.0500540000000003,50.0,50.0,1.2717889999999998,1.659504,0.5545515000000001,1,7,0,0,6,4,0,0,0,0,0,0,0.0
0,0,0,107.3449,231.9038,244.4013,289.9178,1.5609549999999999,2.908482,50.0,50.0,1.465075,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,0,1.438986
0,1,0,139.247,331.4366,74.79561,261.9161,0.8837691999999999,3.503537,50.0,50.0,0.5693552,50.0,50.0,0,4,0,0,3,0,0,1,0,0,0,0,1.7889119999999998
0,0,0,273.5995,34.20279,1000.0,336.473,5.542717,50.0,50.0,50.0,0.9166773000000001,50.0,50.0,0,3,0,0,2,0,0,1,0,1,0,0,2.595422
1,0,1,30.647609999999997,198.7459,122.4414,230.0481,1.175424,2.483966,50.0,50.0,0.9891798,50.0,50.0,0,7,0,0,6,0,2,0,0,0,0,0,1.92179
1,1,1,0.0,127.0,247.0,7.0,0.5669014,0.5669014,50.0,50.0,0.5669012,0.0,0.5669012,0,5,0,0,4,3,0,0,0,1,1,1,0.0
0,0,0,107.3913,200.5011,178.2011,160.4549,1.494979,2.189204,50.0,50.0,1.359604,1.623227,0.5690632,0,4,0,0,1,3,0,0,0,0,0,0,1.4223620000000001
1,0,1,0.0,188.0,308.0,67.99999,0.7576411,0.7576413000000001,50.0,50.0,0.7576411,0.0,0.7576411999999999,0,4,0,0,0,3,0,0,0,0,1,1,0.9434671999999998
0,0,0,243.8992,358.6063,137.4757,145.8992,1.275952,1.453886,2.741198,4.632679,0.5431391999999999,50.0,50.0,0,10,1,2,8,0,0,1,0,0,0,1,0.6785180000000001
0,1,1,31.86325,46.622690000000006,129.9281,164.3875,1.832036,2.5956069999999998,50.0,50.0,1.090332,50.0,50.0,1,6,0,0,5,0,1,0,0,0,0,1,0.0
0,0,0,226.6556,94.45385,121.8237,113.5573,2.1778150000000003,3.27372,50.0,50.0,2.008927,50.0,50.0,1,7,0,0,6,0,0,0,0,0,0,1,2.419798
1,0,0,113.3797,266.5277,285.4769,297.4576,5.209882,5.873621,50.0,50.0,2.790582,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,1,0.0
0,0,0,144.4627,78.85126,211.7992,91.06367,1.849272,2.477596,50.0,1.849272,0.4604577,50.0,50.0,0,6,0,2,5,0,0,0,0,0,0,1,1.605966
1,1,1,0.0,21.99999,142.0,262.0,0.5184837999999999,0.5184837999999999,50.0,50.0,0.5184835999999999,0.0,0.5184837999999999,0,5,0,0,4,3,0,1,0,0,1,1,2.066863
0,1,1,22.238429999999997,196.364,165.6832,98.79751999999999,1.321934,2.371198,50.0,0.8826533999999999,0.8826533999999999,2.9826639999999998,0.9017715000000001,0,7,0,1,6,4,0,0,0,0,0,0,1.138679
1,0,0,99.72946,352.491,357.1013,281.4321,3.677996,4.290355,50.0,50.0,2.581449,50.0,50.0,0,5,0,0,4,0,1,1,1,0,0,0,2.4980689999999997
0,0,0,113.5987,1000.0,1000.0,114.9281,50.0,50.0,50.0,50.0,1.581053,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0
0,0,0,235.8668,1000.0,1000.0,50.26808,50.0,50.0,50.0,50.0,0.9108476999999999,50.0,50.0,1,2,0,0,1,0,0,0,0,0,0,0,0.0
0,0,1,31.670240000000003,8.633286,1000.0,14.803479999999999,3.1703259999999998,50.0,50.0,50.0,2.62261,50.0,50.0,0,3,0,0,2,0,0,1,0,1,0,0,2.2936400000000003
0,0,1,351.903,1000.0,1000.0,354.403,50.0,50.0,1.355178,50.0,0.8580336,50.0,50.0,0,3,1,0,1,0,0,0,0,1,0,0,1.392464
0,0,0,113.4827,3.401672,38.69308,12.57965,2.4755119999999997,4.885056,50.0,50.0,2.376822,50.0,50.0,0,5,0,0,4,0,0,1,1,1,0,0,0.5449193
0,0,0,179.9539,208.3819,57.71774,248.6492,1.715025,3.086191,50.0,1.38865,1.38865,50.0,50.0,0,5,0,1,4,0,0,0,0,0,0,0,0.0
0,0,0,315.8753,260.3073,1000.0,343.9214,3.512707,50.0,4.403117,50.0,0.6607898,50.0,50.0,0,4,1,0,2,0,0,0,0,1,0,0,1.764562
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0.8626171
0,0,1,344.7545,1000.0,1000.0,95.49324,50.0,50.0,50.0,50.0,6.094883,50.0,50.0,1,2,0,0,1,0,0,0,0,0,0,0,1.44181
1,0,1,0.0,42.0,162.0,282.0,0.6873791,0.6873792,50.0,50.0,0.6873791,0.0,0.6873791,0,8,0,0,7,3,2,1,0,0,1,1,1.53817
0,1,1,0.0,193.0,73.0,313.0,0.9514865,0.9514868000000001,3.7639720000000003,50.0,0.9514864,0.0,0.9514865,0,5,1,0,2,3,0,0,0,0,1,1,2.154204
1,0,1,0.0,333.0,93.00001999999999,213.0,0.9405818000000001,0.9405818000000001,50.0,50.0,0.9405815999999999,0.0,0.9405818000000001,0,7,0,0,6,3,0,1,0,0,1,1,0.7348465000000001
1,0,1,0.0,11.0,131.0,251.0,0.929933,0.929933,50.0,50.0,0.9299329,0.0,0.929933,0,6,0,0,5,3,0,1,0,0,1,1,0.0
1,0,1,0.0,316.0,196.0,76.0,0.551779,0.5517791999999999,2.5840349999999996,2.3541060000000003,0.551779,0.0,0.5517791,0,6,1,1,3,3,0,0,0,0,1,1,2.02973
1,0,1,0.0,213.0,92.99999,333.0,0.6053968000000001,0.6053969,50.0,50.0,0.6053967,0.0,0.6053967,0,4,0,0,2,3,0,0,0,1,1,1,0.0
1,1,1,0.0,13.999989999999999,134.0,254.0,0.5428071999999999,0.5428071999999999,50.0,50.0,0.5428071,0.0,0.5428071999999999,0,4,0,0,2,3,0,1,0,0,1,1,0.0
0,1,0,177.9218,148.8144,196.2705,179.1765,1.159666,1.732925,50.0,1.159666,0.8436681,1.397208,0.5537599,1,6,0,2,2,3,0,0,0,0,0,0,1.789364
1,0,1,332.5403,300.6246,0.9159241,7.9805600000000005,0.9576082,1.342023,50.0,50.0,0.4771665,50.0,50.0,0,7,0,0,6,0,0,0,1,1,0,0,0.0
1,0,1,0.0,217.0,337.0,97.00001,0.7582579,0.758258,50.0,50.0,0.7582579,0.0,0.758258,0,7,0,0,6,3,1,0,1,0,1,1,0.7469623000000001
0,0,0,46.888659999999994,357.9922,16.11263,181.1952,1.150087,2.249012,3.180614,2.629308,0.6346189,1.8468360000000001,0.6986175,0,7,1,1,5,3,0,1,1,0,1,0,0.0
1,0,0,244.5523,190.8791,168.1972,121.6288,3.962475,4.156314,50.0,50.0,1.778884,4.441157,0.9282690999999998,0,5,0,0,2,3,1,0,0,0,0,0,2.233784
0,0,0,219.4821,54.76428000000001,281.2148,23.180039999999998,1.934928,3.222178,50.0,50.0,1.778761,50.0,50.0,0,5,0,0,4,0,1,0,0,1,0,0,0.0
0,0,0,298.5357,168.3966,357.8927,20.77042,0.6957451,0.8966924000000001,50.0,50.0,0.5048603,50.0,50.0,0,4,0,0,3,0,0,0,1,1,0,0,1.3043930000000001
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
0,0,1,324.3499,184.1288,173.1336,108.3686,3.5874550000000003,3.742403,50.0,50.0,3.378967,4.132518,0.6115904000000001,0,7,0,0,6,5,0,0,0,0,0,0,0.0
0,0,0,208.8151,161.6292,198.2928,189.2557,2.180279,2.760664,50.0,50.0,1.804254,2.5975639999999998,0.8668210999999999,1,7,0,0,6,5,0,0,0,0,0,0,2.8131310000000003
0,0,0,93.45306,303.1203,28.01465,4.187805,3.095618,3.3715559999999996,50.0,50.0,1.7035919999999998,50.0,50.0,0,6,0,0,5,0,2,0,1,1,0,0,1.7881799999999999
1,1,1,0.0,17.0,107.0,287.0,0.7339939,0.7339939999999999,50.0,4.062857,0.7339935000000001,0.0,0.7339939,0,7,0,1,6,4,0,1,0,0,1,1,0.0
0,0,0,293.2942,145.9659,140.3689,176.2942,3.541238,3.9962739999999997,50.0,50.0,0.9349091,50.0,50.0,0,7,0,0,6,0,0,0,0,0,0,1,0.9932284
0,0,1,0.0,307.0,187.0,67.0,0.7078501,0.7078502,50.0,50.0,0.70785,0.0,0.7078502,0,5,0,0,4,3,0,0,0,0,1,1,0.8226438
0,0,0,233.9413,190.03900000000002,284.4183,174.9413,1.840798,2.21492,2.855697,50.0,0.7805883000000001,50.0,50.0,1,7,1,0,5,0,0,0,0,0,0,0,1.679717
1,0,0,261.0885,108.43799999999999,256.125,352.1472,1.285768,3.3258769999999998,50.0,50.0,0.4938576,50.0,50.0,0,4,0,0,3,0,0,0,0,1,0,0,0.0
0,0,0,267.7946,70.36343000000001,36.867979999999996,317.4153,1.053341,4.260739,50.0,50.0,0.9473286,50.0,50.0,0,5,0,0,4,0,1,0,1,0,0,0,0.0
0,0,0,102.6956,1000.0,1000.0,5.448273,50.0,50.0,50.0,50.0,4.479825,50.0,50.0,0,2,0,0,1,0,0,0,0,1,0,0,2.47594
0,0,1,19.93231,0.5780029000000001,1000.0,52.23672,3.916807,50.0,50.0,50.0,3.0954900000000003,50.0,50.0,0,3,0,0,2,0,0,1,0,0,0,0,2.14182
0,0,0,55.913940000000004,191.6283,160.9816,243.1328,2.4182349999999997,3.837013,50.0,50.0,1.7664990000000003,50.0,50.0,0,5,0,0,4,0,2,0,0,0,0,0,1.991134
0,1,1,4.201904,315.1041,182.9114,227.6413,1.374676,1.6506869999999998,50.0,50.0,1.321412,50.0,50.0,0,7,0,0,6,0,2,0,0,0,0,0,1.25189
0,0,0,83.83447,231.1402,1000.0,190.3624,2.486822,50.0,50.0,50.0,2.366923,50.0,50.0,0,3,0,0,2,0,0,0,0,0,0,0,2.7646990000000002
1,0,0,262.6365,272.0931,269.2985,319.802,3.229892,4.388566,50.0,50.0,0.7381123,50.0,50.0,0,5,0,0,4,0,0,0,0,0,0,0,1.457814
0,0,0,234.6073,342.4438,186.9094,36.97084,1.180217,1.694323,50.0,50.0,1.095308,50.0,50.0,0,8,0,0,7,0,2,1,0,1,0,0,1.021982
0,0,0,214.9928,38.55073,1000.0,308.4469,2.80919,50.0,50.0,50.0,1.647489,50.0,50.0,0,3,0,0,2,0,0,1,0,0,0,0,0.0
1,0,0,114.28,172.2545,186.33599999999998,216.2872,3.624725,4.187982,50.0,50.0,1.1880600000000001,50.0,50.0,0,6,0,0,5,0,0,0,0,0,0,0,0.9480267
0,0,0,240.6281,308.5367,1000.0,281.3481,5.672211,50.0,50.0,4.101646,4.101646,50.0,50.0,0,3,0,2,2,0,0,0,0,0,0,0,0.6021865
0,0,0,259.1347,304.4843,248.1046,225.5066,2.144621,2.8046,1.534274,50.0,2.079225,50.0,50.0,0,10,1,0,8,0,2,0,0,0,0,0,0.7469920999999999
1,0,0,91.57361,19.06598,49.461240000000004,52.891740000000006,3.319833,4.623530000000001,50.0,50.0,3.2506049999999997,50.0,50.0,1,7,0,0,6,0,2,1,0,0,0,0,0.6418722
1,1,0,256.7852,98.70485,251.3204,164.7812,0.6161842,0.9952629000000001,50.0,50.0,0.5223066,50.0,50.0,0,7,0,0,6,0,0,0,0,0,0,0,0.0
0,0,1,327.6071,284.3906,78.83513,170.8982,1.2824659999999999,1.450828,50.0,50.0,0.9479085999999999,50.0,50.0,0,7,0,0,6,0,2,0,0,0,0,0,1.3869040000000001
0,0,0,150.5803,304.427,170.7648,82.2345,0.8168786,1.780309,50.0,5.062387,0.462454,2.712356,0.9969434000000001,0,8,0,1,7,4,0,0,0,0,0,0,2.379234
1,0,1,0.0,267.0,27.000009999999996,147.0,0.7466218000000001,0.7466219000000001,4.916628,50.0,0.7466214,0.0,0.7466218000000001,0,8,1,0,6,3,0,0,1,0,1,1,0.0
0,1,0,250.8577,194.0826,165.4188,223.4666,2.449147,2.526322,50.0,50.0,2.115761,2.765876,0.712386,0,6,0,0,4,3,2,0,0,0,0,0,0.0
