Stamp,File Path,Using circle,Using arrow,Number of people,Number of people in group,Group radius,Distance to group,Robot within group?,Robot facing group?,Robot work radius,Distance to closest human,Distance to 2nd closest human,Distance to 3rd closest human,Direction to closest human,Direction to 2nd closest human,Direction to 3rd closest human,Direction from closest human to robot,Robot facing closest human?,Closest human facing robot?,Number of children,Distance to closest child,Number of animals,Distance to closest animal,Number of people sitting/laying in sofa?,Music playing?,Number of agents in scene,
10,data/screenshots/10_1_0_5_0_50_50_1_0_0.7845421_1.158239_4.692791_4.693554_6.653595_11.22147_16.27365_17.55836_1_1_0_50_0_0_6.png,1,0,5,0,50,50,1,0,0.7845421,1.158239,4.692791,4.693554,6.653595,11.22147,16.27365,17.55836,1,1,0,50,0,50,0,0,6,
11,data/screenshots/11_1_0_5_0_50_50_1_0_2.365416_1.501364_5.238606_5.492395_76.78955_87.4202_92.57944_94.96796_1_1_0_50_0_2_6.png,1,0,5,0,50,50,1,0,2.365416,1.501364,5.238606,5.492395,76.78955,87.4202,92.57944,94.96796,1,1,0,50,0,50,2,0,6,
12,data/screenshots/12_1_0_1_0_50_50_1_0_2.002396_3.865327_50_50_83.18669_1000_1000_262.7853_1_1_1_3.865327_1_0_3.png,1,0,1,0,50,50,1,0,2.002396,3.865327,50,50,83.18669,1000,1000,262.7853,1,1,1,3.865327,1,2.475618,0,0,3,
13,data/screenshots/13_0_1_8_0_50_50_1_0_0_0.7483825_1.050448_1.524187_279.2411_152.3062_178.6402_224.0263_1_1_2_1.524187_0_2_9.png,0,1,8,0,50,50,1,0,0,0.7483825,1.050448,1.524187,279.2411,152.3062,178.6402,224.0263,1,1,2,1.524187,0,50,2,0,9,
14,data/screenshots/14_1_0_5_0_50_50_1_0_2.051957_2.108356_3.08271_3.238017_224.8303_230.9019_169.425_108.2558_1_1_1_3.238017_0_0_6.png,1,0,5,0,50,50,1,0,2.051957,2.108356,3.08271,3.238017,224.8303,230.9019,169.425,108.2558,1,1,1,3.238017,0,50,0,0,6,
15,data/screenshots/15_1_0_1_0_50_50_1_0_0.531617_4.142346_50_50_172.3942_1000_1000_356.2446_1_1_0_50_0_0_2.png,1,0,1,0,50,50,1,0,0.531617,4.142346,50,50,172.3942,1000,1000,356.2446,1,1,0,50,0,50,0,1,2,
16,data/screenshots/16_0_1_4_3_0.9985369_0_1_1_0_0.9985368_0.9985371_0.9985371_241_1.000008_121_0_1_1_0_50_0_0_5.png,0,1,4,3,0.9985369,0,1,1,0,0.9985368,0.9985371,0.9985371,241,1.000008,121,0,1,1,0,50,0,50,0,1,5,
17,data/screenshots/17_1_0_1_3_0.6304523_0_1_1_2.983304_0.6304522_0.6304523_0.6304526_153_33_273_0_1_1_1_2.711083_1_0_6.png,1,0,1,3,0.6304523,0,1,1,2.983304,0.6304522,0.6304523,0.6304526,153,33,273,0,1,1,1,2.711083,1,4.320635,0,0,6,
18,data/screenshots/18_1_0_6_5_0.6393193_0_1_1_0.5132447_0.639319_0.6393193_0.6393194_64.00003_136_280_0_1_1_0_50_0_0_7.png,1,0,6,5,0.6393193,0,1,1,0.5132447,0.639319,0.6393193,0.6393194,64.00003,136,280,0,1,1,0,50,0,50,0,1,7,
19,data/screenshots/19_1_0_1_5_0.8502208_0_1_1_0.8236264_0.8502208_0.8502208_0.8502208_103_175_247_0_1_1_0_50_0_1_7.png,1,0,1,5,0.8502208,0,1,1,0.8236264,0.8502208,0.8502208,0.8502208,103,175,247,0,1,1,0,50,0,50,1,0,7,
20,data/screenshots/20_1_0_4_3_0.7670552_3.265183_0_1_2.823348_1.11259_2.947469_2.967038_319.6598_12.92175_346.9622_129.8954_0_0_0_50_1_0_6.png,1,0,4,3,0.7670552,3.265183,0,1,2.823348,1.11259,2.947469,2.967038,319.6598,12.92175,346.9622,129.8954,0,0,0,50,1,1.849991,0,0,6,
21,data/screenshots/21_1_0_4_0_50_50_0_0_0.7476552_0.7560507_1.556511_2.230671_169.1271_168.0366_135.4819_189.0225_0_0_0_50_0_0_5.png,1,0,4,0,50,50,0,0,0.7476552,0.7560507,1.556511,2.230671,169.1271,168.0366,135.4819,189.0225,0,0,0,50,0,50,0,0,5,
22,data/screenshots/22_1_0_0_0_50_50_0_0_2.09864_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,1,0,0,0,50,50,0,0,2.09864,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
23,data/screenshots/23_1_0_0_0_50_50_0_0_2.47948_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,1,0,0,0,50,50,0,0,2.47948,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,1,1,
24,data/screenshots/24_0_1_2_0_50_50_0_0_0_1.262416_50_50_95.99068_1000_1000_115.9227_0_0_0_50_1_1_4.png,0,1,2,0,50,50,0,0,0,1.262416,50,50,95.99068,1000,1000,115.9227,0,0,0,50,1,1.074461,1,0,4,
25,data/screenshots/25_0_1_3_0_50_50_0_0_0_2.117797_3.897261_6.390054_220.0925_156.5886_195.3792_270.0152_0_0_0_50_1_0_5.png,0,1,3,0,50,50,0,0,0,2.117797,3.897261,6.390054,220.0925,156.5886,195.3792,270.0152,0,0,0,50,1,5.717002,0,0,5,
26,data/screenshots/26_0_1_8_3_0.5350355_0_1_1_0_0.5350353_0.5350355_0.5350357_346_226_106_0_1_1_0_50_0_2_9.png,0,1,8,3,0.5350355,0,1,1,0,0.5350353,0.5350355,0.5350357,346,226,106,0,1,1,0,50,0,50,2,0,9,
27,data/screenshots/27_1_0_4_3_0.5983943_1.494217_0_1_1.799773_1.194811_1.412821_2.08534_337.6415_23.54312_356.981_108.2175_1_0_0_50_0_0_5.png,1,0,4,3,0.5983943,1.494217,0,1,1.799773,1.194811,1.412821,2.08534,337.6415,23.54312,356.981,108.2175,1,0,0,50,0,50,0,0,5,
28,data/screenshots/28_1_0_6_4_0.8028194_4.817346_0_0_2.617004_3.725193_4.099505_4.545212_130.6635_184.636_170.7418_48.03956_0_0_0_50_0_1_7.png,1,0,6,4,0.8028194,4.817346,0,0,2.617004,3.725193,4.099505,4.545212,130.6635,184.636,170.7418,48.03956,0,0,0,50,0,50,1,0,7,
29,data/screenshots/29_1_0_0_4_0.9217488_0_1_1_2.530538_0.9217486_0.9217488_0.9217489_344_254_74_0_1_1_0_50_1_0_6.png,1,0,0,4,0.9217488,0,1,1,2.530538,0.9217486,0.9217488,0.9217489,344,254,74,0,1,1,0,50,1,4.894527,0,0,6,
30,data/screenshots/30_0_1_2_4_0.5877984_2.174275_0_0_0_1.670565_1.980366_2.494816_189.1175_164.6325_192.1436_215.8837_0_0_0_50_0_0_5.png,0,1,2,4,0.5877984,2.174275,0,0,0,1.670565,1.980366,2.494816,189.1175,164.6325,192.1436,215.8837,0,0,0,50,0,50,0,0,5,
31,data/screenshots/31_0_1_0_4_0.9167321_0_1_1_0_0.9167318_0.9167321_0.9167321_2.000031_272_92.00003_0_1_1_0_50_0_0_5.png,0,1,0,4,0.9167321,0,1,1,0,0.9167318,0.9167321,0.9167321,2.000031,272,92.00003,0,1,1,0,50,0,50,0,0,5,
32,data/screenshots/32_0_1_3_0_50_50_1_0_0_1.674053_1.750382_4.32587_356.4815_91.62543_43.45874_52.48148_1_1_0_50_0_0_4.png,0,1,3,0,50,50,1,0,0,1.674053,1.750382,4.32587,356.4815,91.62543,43.45874,52.48148,1,1,0,50,0,50,0,0,4,
33,data/screenshots/33_1_0_0_0_50_50_1_0_1.769345_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,1,0,0,0,50,50,1,0,1.769345,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
34,data/screenshots/34_1_0_5_0_50_50_1_0_1.050391_0.6207966_1.440856_1.680428_91.39996_164.612_149.8663_28.88144_1_1_0_50_1_0_7.png,1,0,5,0,50,50,1,0,1.050391,0.6207966,1.440856,1.680428,91.39996,164.612,149.8663,28.88144,1,1,0,50,1,3.567178,0,0,7,
35,data/screenshots/35_0_1_1_0_50_50_1_0_0_4.381418_50_50_47.10658_1000_1000_105.2001_1_1_0_50_0_0_2.png,0,1,1,0,50,50,1,0,0,4.381418,50,50,47.10658,1000,1000,105.2001,1,1,0,50,0,50,0,0,2,
36,data/screenshots/36_0_1_2_0_50_50_1_0_0_2.3182_2.772486_50_62.58411_80.50034_1000_262.7842_1_1_2_2.3182_0_0_3.png,0,1,2,0,50,50,1,0,0,2.3182,2.772486,50,62.58411,80.50034,1000,262.7842,1,1,2,2.3182,0,50,0,0,3,
37,data/screenshots/37_0_1_2_0_50_50_1_0_0_3.740731_5.002224_50_292.3548_281.7979_1000_349.0552_1_1_0_50_0_0_3.png,0,1,2,0,50,50,1,0,0,3.740731,5.002224,50,292.3548,281.7979,1000,349.0552,1,1,0,50,0,50,0,0,3,
38,data/screenshots/38_1_0_6_0_50_50_1_0_1.306297_0.7816052_1.209794_2.366306_235.6643_223.0542_202.1636_26.16257_1_1_0_50_0_1_7.png,1,0,6,0,50,50,1,0,1.306297,0.7816052,1.209794,2.366306,235.6643,223.0542,202.1636,26.16257,1,1,0,50,0,50,1,0,7,
39,data/screenshots/39_0_1_2_0_50_50_1_0_0_0.8943316_4.787129_50_65.13177_146.9761_1000_139.7937_1_1_0_50_0_0_3.png,0,1,2,0,50,50,1,0,0,0.8943316,4.787129,50,65.13177,146.9761,1000,139.7937,1,1,0,50,0,50,0,0,3,
40,data/screenshots/40_1_0_6_4_0.9038951_1.73828_0_0_0.9710141_0.6731939_0.835215_1.93528_319.411_181.8421_152.1696_40.11305_0_1_1_5.650613_0_0_7.png,1,0,6,4,0.9038951,1.73828,0,0,0.9710141,0.6731939,0.835215,1.93528,319.411,181.8421,152.1696,40.11305,0,1,1,5.650613,0,50,0,0,7,
41,data/screenshots/41_0_1_7_4_0.5789984_0_1_1_0_0.5789983_0.5789983_0.5789983_174_264_354_0_1_1_2_1.541793_0_0_8.png,0,1,7,4,0.5789984,0,1,1,0,0.5789983,0.5789983,0.5789983,174,264,354,0,1,1,2,1.541793,0,50,0,0,8,
42,data/screenshots/42_1_0_5_3_0.933405_0_1_1_0.8031597_0.9334049_0.933405_0.933405_313_73.00001_193_0_1_1_0_50_1_1_7.png,1,0,5,3,0.933405,0,1,1,0.8031597,0.9334049,0.933405,0.933405,313,73.00001,193,0,1,1,0,50,1,3.525186,1,0,7,
43,data/screenshots/43_1_0_4_0_50_50_1_0_0.8217608_0.4182063_1.799975_2.176961_269.4596_336.2299_83.17453_313.4596_1_1_0_50_0_0_5.png,1,0,4,0,50,50,1,0,0.8217608,0.4182063,1.799975,2.176961,269.4596,336.2299,83.17453,313.4596,1,1,0,50,0,50,0,0,5,
44,data/screenshots/44_0_1_3_0_50_50_1_0_0_0.5056673_2.614582_5.934348_350.3719_89.55594_0.8591003_149.5464_1_1_0_50_0_0_4.png,0,1,3,0,50,50,1,0,0,0.5056673,2.614582,5.934348,350.3719,89.55594,0.8591003,149.5464,1,1,0,50,0,50,0,0,4,
45,data/screenshots/45_1_0_6_0_50_50_1_0_1.161265_1.671584_2.99074_4.252272_212.8134_181.1859_141.2942_325.8471_1_1_2_2.99074_0_0_7.png,1,0,6,0,50,50,1,0,1.161265,1.671584,2.99074,4.252272,212.8134,181.1859,141.2942,325.8471,1,1,2,2.99074,0,50,0,0,7,
46,data/screenshots/46_0_1_0_0_50_50_1_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,0,1,0,0,50,50,1,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
47,data/screenshots/47_0_1_5_4_0.5884804_1.84305_0_1_0_1.391093_1.595176_2.222994_346.4826_17.90771_347.2531_132.9415_1_0_0_50_1_0_7.png,0,1,5,4,0.5884804,1.84305,0,1,0,1.391093,1.595176,2.222994,346.4826,17.90771,347.2531,132.9415,1,0,0,50,1,3.09211,0,0,7,
48,data/screenshots/48_0_1_1_4_0.6836047_0_1_1_0_0.6836047_0.6836047_0.6836047_246_336_66_0_1_1_0_50_0_0_5.png,0,1,1,4,0.6836047,0,1,1,0,0.6836047,0.6836047,0.6836047,246,336,66,0,1,1,0,50,0,50,0,0,5,
49,data/screenshots/49_0_1_2_4_0.6903887_1.443195_0_0_0_0.9542379_1.200183_1.91793_156.0289_208.423_162.6713_121.8662_0_0_0_50_0_0_5.png,0,1,2,4,0.6903887,1.443195,0,0,0,0.9542379,1.200183,1.91793,156.0289,208.423,162.6713,121.8662,0,0,0,50,0,50,0,0,5,
50,data/screenshots/50_0_1_5_0_50_50_0_0_0_0.5571843_1.638394_5.22412_54.11436_139.3748_237.8754_248.9805_0_0_0_50_0_1_6.png,0,1,5,0,50,50,0,0,0,0.5571843,1.638394,5.22412,54.11436,139.3748,237.8754,248.9805,0,0,0,50,0,50,1,0,6,
51,data/screenshots/51_1_0_5_0_50_50_0_0_1.909264_0.4994031_1.200137_2.096977_261.4197_126.1659_176.8551_140.1612_0_0_0_50_0_0_6.png,1,0,5,0,50,50,0,0,1.909264,0.4994031,1.200137,2.096977,261.4197,126.1659,176.8551,140.1612,0,0,0,50,0,50,0,0,6,
52,data/screenshots/52_0_1_8_0_50_50_0_0_0_0.9819612_2.001011_3.03494_158.6012_169.2586_179.7238_28.19791_0_1_0_50_0_2_9.png,0,1,8,0,50,50,0,0,0,0.9819612,2.001011,3.03494,158.6012,169.2586,179.7238,28.19791,0,1,0,50,0,50,2,0,9,
53,data/screenshots/53_1_0_4_0_50_50_0_0_2.789197_0.9359872_3.960117_4.092969_174.5047_124.4636_81.7424_32.70258_0_1_0_50_0_0_5.png,1,0,4,0,50,50,0,0,2.789197,0.9359872,3.960117,4.092969,174.5047,124.4636,81.7424,32.70258,0,1,0,50,0,50,0,0,5,
54,data/screenshots/54_1_0_5_0_50_50_0_0_2.678208_2.95057_3.835_4.086837_65.93268_50.42587_26.37596_86.63525_0_0_0_50_1_0_7.png,1,0,5,0,50,50,0,0,2.678208,2.95057,3.835,4.086837,65.93268,50.42587,26.37596,86.63525,0,0,0,50,1,4.155471,0,0,7,
55,data/screenshots/55_0_1_2_0_50_50_0_0_0_0.9191909_2.640684_50_139.7112_48.69758_1000_85.83972_0_0_0_50_0_0_3.png,0,1,2,0,50,50,0,0,0,0.9191909,2.640684,50,139.7112,48.69758,1000,85.83972,0,0,0,50,0,50,0,0,3,
56,data/screenshots/56_1_0_5_3_0.7293868_0_1_1_2.892849_0.7293868_0.7293868_0.729387_16_256_136_0_1_1_0_50_0_0_6.png,1,0,5,3,0.7293868,0,1,1,2.892849,0.7293868,0.7293868,0.729387,16,256,136,0,1,1,0,50,0,50,0,0,6,
57,data/screenshots/57_0_1_5_0_50_50_1_0_0_0.5861281_0.7444589_1.053416_269.4127_128.9237_289.0369_212.4128_1_1_1_2.926495_1_0_7.png,0,1,5,0,50,50,1,0,0,0.5861281,0.7444589,1.053416,269.4127,128.9237,289.0369,212.4128,1,1,1,2.926495,1,3.500591,0,0,7,
58,data/screenshots/58_0_1_3_0_50_50_1_0_0_1.848957_3.223832_3.807454_195.285_209.678_280.6126_100.2087_1_1_0_50_0_0_4.png,0,1,3,0,50,50,1,0,0,1.848957,3.223832,3.807454,195.285,209.678,280.6126,100.2087,1,1,0,50,0,50,0,0,4,
59,data/screenshots/59_1_0_2_0_50_50_1_0_1.671628_50_50_50_1000_1000_1000_1000_1_1_0_50_0_2_3.png,1,0,2,0,50,50,1,0,1.671628,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,2,0,3,
60,data/screenshots/60_1_0_6_0_50_50_1_0_1.014902_2.54939_3.392789_3.429572_228.7545_245.4441_253.2802_263.9633_1_1_0_50_1_0_8.png,1,0,6,0,50,50,1,0,1.014902,2.54939,3.392789,3.429572,228.7545,245.4441,253.2802,263.9633,1,1,0,50,1,4.025764,0,1,8,
61,data/screenshots/61_1_0_4_0_50_50_1_0_2.335415_0.8411776_1.152419_2.365813_151.2802_287.7815_155.2124_155.9331_1_1_0_50_0_1_5.png,1,0,4,0,50,50,1,0,2.335415,0.8411776,1.152419,2.365813,151.2802,287.7815,155.2124,155.9331,1,1,0,50,0,50,1,1,5,
62,data/screenshots/62_0_1_5_0_50_50_1_0_0_1.487532_3.755378_3.889196_170.8622_267.9159_281.2553_297.2966_1_1_0_50_0_0_6.png,0,1,5,0,50,50,1,0,0,1.487532,3.755378,3.889196,170.8622,267.9159,281.2553,297.2966,1,1,0,50,0,50,0,0,6,
63,data/screenshots/63_1_0_2_0_50_50_1_0_2.229531_3.762787_5.001137_50_210.2717_170.919_1000_312.622_1_1_1_3.762787_0_0_3.png,1,0,2,0,50,50,1,0,2.229531,3.762787,5.001137,50,210.2717,170.919,1000,312.622,1,1,1,3.762787,0,50,0,0,3,
64,data/screenshots/64_1_0_8_3_0.6119678_0_1_1_0.9253858_0.6119678_0.6119678_0.6119679_6_246_126_0_1_1_0_50_0_2_9.png,1,0,8,3,0.6119678,0,1,1,0.9253858,0.6119678,0.6119678,0.6119679,6,246,126,0,1,1,0,50,0,50,2,0,9,
65,data/screenshots/65_0_1_8_0_50_50_1_0_0_0.7651128_1.371237_1.54176_135.6182_248.347_303.4505_214.6182_1_1_1_1.371237_0_2_9.png,0,1,8,0,50,50,1,0,0,0.7651128,1.371237,1.54176,135.6182,248.347,303.4505,214.6182,1,1,1,1.371237,0,50,2,0,9,
66,data/screenshots/66_0_1_1_0_50_50_1_0_0_1.38736_50_50_346.3726_1000_1000_251.7196_1_1_1_1.38736_0_0_2.png,0,1,1,0,50,50,1,0,0,1.38736,50,50,346.3726,1000,1000,251.7196,1,1,1,1.38736,0,50,0,0,2,
67,data/screenshots/67_1_0_3_0_50_50_1_0_2.939402_1.498079_2.051914_5.280498_238.2427_203.4536_194.7477_318.9624_1_1_0_50_1_0_5.png,1,0,3,0,50,50,1,0,2.939402,1.498079,2.051914,5.280498,238.2427,203.4536,194.7477,318.9624,1,1,0,50,1,5.71891,0,0,5,
68,data/screenshots/68_0_1_3_0_50_50_1_0_0_1.479561_2.001885_3.099591_282.6727_18.43973_296.868_239.14_1_1_0_50_0_0_4.png,0,1,3,0,50,50,1,0,0,1.479561,2.001885,3.099591,282.6727,18.43973,296.868,239.14,1,1,0,50,0,50,0,0,4,
69,data/screenshots/69_1_0_3_0_50_50_1_0_0.8694087_0.4533921_0.8384156_4.469966_260.9594_346.9099_345.3393_339.2947_1_1_0_50_0_0_4.png,1,0,3,0,50,50,1,0,0.8694087,0.4533921,0.8384156,4.469966,260.9594,346.9099,345.3393,339.2947,1,1,0,50,0,50,0,0,4,
70,data/screenshots/70_0_1_5_4_0.9181746_2.416263_0_1_0_1.88066_1.884374_3.132392_20.14841_339.7993_11.9894_245.0207_1_0_0_50_0_0_6.png,0,1,5,4,0.9181746,2.416263,0,1,0,1.88066,1.884374,3.132392,20.14841,339.7993,11.9894,245.0207,1,0,0,50,0,50,0,0,6,
71,data/screenshots/71_1_0_6_3_0.7974383_1.851609_0_1_1.37601_1.060006_1.573766_2.302436_3.939011_116.7087_341.6691_189.1782_1_0_0_50_0_0_7.png,1,0,6,3,0.7974383,1.851609,0,1,1.37601,1.060006,1.573766,2.302436,3.939011,116.7087,341.6691,189.1782,1,0,0,50,0,50,0,0,7,
72,data/screenshots/72_0_1_1_3_0.5010712_0_1_1_0_0.5010712_0.5010712_0.5010713_322_82_202_0_1_1_0_50_0_0_4.png,0,1,1,3,0.5010712,0,1,1,0,0.5010712,0.5010712,0.5010713,322,82,202,0,1,1,0,50,0,50,0,0,4,
73,data/screenshots/73_1_0_7_0_50_50_1_0_1.518657_0.9520883_2.153378_2.662778_138.7_92.39999_246.2811_73.70004_1_1_0_50_0_2_8.png,1,0,7,0,50,50,1,0,1.518657,0.9520883,2.153378,2.662778,138.7,92.39999,246.2811,73.70004,1,1,0,50,0,50,2,0,8,
74,data/screenshots/74_0_1_3_0_50_50_1_0_0_1.245767_3.525976_4.609587_66.6842_132.3708_100.057_236.3842_1_1_1_4.609587_0_0_4.png,0,1,3,0,50,50,1,0,0,1.245767,3.525976,4.609587,66.6842,132.3708,100.057,236.3842,1,1,1,4.609587,0,50,0,0,4,
75,data/screenshots/75_0_1_8_0_50_50_1_0_0_0.6170606_1.037822_1.175658_189.296_239.2449_135.5922_163.053_1_1_2_5.139732_0_0_9.png,0,1,8,0,50,50,1,0,0,0.6170606,1.037822,1.175658,189.296,239.2449,135.5922,163.053,1,1,2,5.139732,0,50,0,0,9,
76,data/screenshots/76_0_1_7_3_0.6026317_4.513154_0_1_0_0.4543141_0.8587784_2.194581_87.46442_232.2228_335.651_250.276_0_0_0_50_0_1_8.png,0,1,7,3,0.6026317,4.513154,0,1,0,0.4543141,0.8587784,2.194581,87.46442,232.2228,335.651,250.276,0,0,0,50,0,50,1,0,8,
77,data/screenshots/77_1_0_5_0_50_50_0_0_0.6443127_0.726189_2.050575_2.100933_273.133_35.03074_93.43199_216.409_0_0_0_50_0_0_6.png,1,0,5,0,50,50,0,0,0.6443127,0.726189,2.050575,2.100933,273.133,35.03074,93.43199,216.409,0,0,0,50,0,50,0,0,6,
78,data/screenshots/78_1_0_1_0_50_50_0_0_2.812243_4.016406_50_50_21.26459_1000_1000_65.9726_1_0_0_50_0_0_2.png,1,0,1,0,50,50,0,0,2.812243,4.016406,50,50,21.26459,1000,1000,65.9726,1,0,0,50,0,50,0,0,2,
79,data/screenshots/79_1_0_8_4_0.7078801_0_1_1_1.066589_0.70788_0.70788_0.70788_187_277_7_0_1_1_2_2.962141_0_0_9.png,1,0,8,4,0.7078801,0,1,1,1.066589,0.70788,0.70788,0.70788,187,277,7,0,1,1,2,2.962141,0,50,0,0,9,
80,data/screenshots/80_1_0_3_0_50_50_1_0_2.95428_5.372666_5.653102_5.981499_183.8562_203.0706_197.3818_175.8562_1_1_0_50_0_0_4.png,1,0,3,0,50,50,1,0,2.95428,5.372666,5.653102,5.981499,183.8562,203.0706,197.3818,175.8562,1,1,0,50,0,50,0,0,4,
81,data/screenshots/81_0_1_1_0_50_50_1_0_0_4.946379_50_50_234.1631_1000_1000_0.01927185_1_1_0_50_0_0_2.png,0,1,1,0,50,50,1,0,0,4.946379,50,50,234.1631,1000,1000,0.01927185,1,1,0,50,0,50,0,1,2,
82,data/screenshots/82_1_0_2_0_50_50_1_0_1.125833_4.112538_4.386775_50_169.3532_152.5536_1000_55.37244_1_1_0_50_0_0_3.png,1,0,2,0,50,50,1,0,1.125833,4.112538,4.386775,50,169.3532,152.5536,1000,55.37244,1,1,0,50,0,50,0,0,3,
83,data/screenshots/83_0_1_0_0_50_50_1_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,0,1,0,0,50,50,1,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
84,data/screenshots/84_1_0_4_3_0.5961455_0_1_1_2.48932_0.5961455_0.5961455_0.5961456_285_45_165_0_1_1_0_50_0_0_5.png,1,0,4,3,0.5961455,0,1,1,2.48932,0.5961455,0.5961455,0.5961456,285,45,165,0,1,1,0,50,0,50,0,0,5,
85,data/screenshots/85_1_0_0_3_0.8912399_0_1_1_2.106151_0.8912399_0.8912399_0.8912401_307_187_67.00001_0_1_1_0_50_0_0_4.png,1,0,0,3,0.8912399,0,1,1,2.106151,0.8912399,0.8912399,0.8912401,307,187,67.00001,0,1,1,0,50,0,50,0,0,4,
86,data/screenshots/86_1_0_3_0_50_50_1_0_0.8006425_0.7593041_2.177864_4.076248_6.990601_240.4656_54.60989_157.9906_1_1_0_50_1_0_5.png,1,0,3,0,50,50,1,0,0.8006425,0.7593041,2.177864,4.076248,6.990601,240.4656,54.60989,157.9906,1,1,0,50,1,2.33622,0,1,5,
87,data/screenshots/87_0_1_6_0_50_50_1_0_0_0.6704497_2.875778_3.732585_65.87648_120.1514_130.647_283.3421_1_1_2_2.875778_0_2_7.png,0,1,6,0,50,50,1,0,0,0.6704497,2.875778,3.732585,65.87648,120.1514,130.647,283.3421,1,1,2,2.875778,0,50,2,0,7,
88,data/screenshots/88_1_0_6_0_50_50_1_0_1.216834_0.7921639_2.998859_3.614907_234.1096_241.134_213.8701_127.2222_1_1_0_50_0_0_7.png,1,0,6,0,50,50,1,0,1.216834,0.7921639,2.998859,3.614907,234.1096,241.134,213.8701,127.2222,1,1,0,50,0,50,0,0,7,
